date	sha	model	round	severity	pattern	file	line	finding	status
2026-03-04	ae7e5f6b	claude	1	minor	dead-code	lib/common/api-utils.ts	78	Unused remaining param in rateLimitResponse	fixed
2026-03-04	ae7e5f6b	claude	1	minor	shadow-validation	lib/common/types.ts	12	Branded type constructors lack validation	acknowledged
2026-03-04	ae7e5f6b	openai	1	major	structural	lib/common/rate-limit.ts	25	In-memory limiter retains stale keys indefinitely	documented
2026-03-04	ae7e5f6b	openai	1	minor	phantom-tollbooth	lib/common/api-utils.test.ts	117	Retry-After test too permissive	fixed
2026-03-04	ae7e5f6b	openai	1	minor	right-answer-wrong-work	lib/common/api-utils.test.ts	104	Empty-body test missing error code assertion	fixed
2026-03-04	986cacb9	openai	2	major	structural	lib/common/api-utils.ts	52	parseValidBody catches all exceptions as 400	fixed
2026-03-04	986cacb9	openai	2	major	structural	lib/common/rate-limit.ts	45	Rate limiter assumes wall-clock monotonicity	documented
2026-03-04	986cacb9	openai	2	minor	semantic-hallucination	lib/common/api-utils.ts	2	Header claims no side effects but consumes body	fixed
2026-03-04	13e8c9e6	openai	3	major	structural	lib/common/rate-limit.ts	31	Rate limiter accepts invalid config silently	fixed
2026-03-04	13e8c9e6	openai	3	minor	shadow-validation	lib/common/rate-limit.test.ts	21	No tests for invalid config	fixed
2026-03-04	da767197	openai	4	major	structural	lib/common/api-utils.ts	55	Non-SyntaxError parse failures as server errors	acknowledged
2026-03-04	da767197	openai	4	minor	paper-guardrail	lib/common/rate-limit.ts	4	Memory safety documented but not enforced	acknowledged
2026-03-04	c654c94b	openai	1	major	paper-guardrail	lib/bouts/presets.ts	2	Server-only claim not enforced	fixed
2026-03-04	c654c94b	openai	1	major	structural	lib/bouts/presets.ts	84	Global mutable cache can be corrupted by callers	fixed
2026-03-04	c654c94b	claude	2	major	shadow-validation	lib/bouts/presets.ts	10	Agent IDs not validated for uniqueness within preset	fixed
2026-03-04	b233ed3e	openai	3	major	paper-guardrail	vitest.config.ts	17	server-only alias masks client boundary failures	acknowledged
2026-03-04	b233ed3e	openai	3	major	structural	lib/bouts/presets.ts	41	Runtime fs scanning brittle under serverless	acknowledged
